预测结果Y,种类,预测结果概率_琴酒,预测结果概率_贝尔摩德,预测结果概率_雪莉,苯酚,类黄酮,非类黄酮苯酚,稀释的酒的蛋白质浓度的光谱度量,脯氨酸,有前花青素,颜色强度,色调,酒精,镁,灰的碱性,灰分,苹果酸
雪莉,雪莉,7.912289698849833e-07,5.7046709301952875e-05,0.9999421620617281,2.0,2.09,0.34,2.96,345.0,1.61,2.06,1.06,12.42,108.0,22.5,2.19,1.61
雪莉,雪莉,0.059348457820436566,0.018927845740669053,0.9217236964388943,2.53,1.3,0.55,1.93,750.0,0.42,3.17,1.02,13.34,110.0,17.0,2.36,0.94
琴酒,琴酒,0.9999579633827348,2.9866995986193683e-07,4.1737947305280575e-05,2.65,2.76,0.26,3.4,1050.0,1.28,4.38,1.05,13.2,100.0,11.2,2.14,1.78
雪莉,琴酒,0.40211425748308127,0.018990526676122475,0.5788952158407963,2.8,2.69,0.39,2.93,735.0,1.82,4.32,1.04,13.24,118.0,21.0,2.87,2.59
琴酒,琴酒,0.9999977638676564,2.828218641847486e-07,1.95331047957176e-06,2.6,2.51,0.31,3.58,1295.0,1.25,5.05,1.06,14.06,121.0,17.6,2.61,2.15
雪莉,雪莉,0.1574847824915065,0.001376564298255221,0.8411386532102383,2.23,2.17,0.26,2.96,710.0,1.4,3.3,1.27,12.08,97.0,17.5,1.7,2.08
琴酒,琴酒,0.9999687129331971,3.09886851032025e-05,2.98381699566923e-07,2.88,3.54,0.32,3.1,1260.0,2.08,8.9,1.12,13.94,108.0,17.4,2.27,1.73
贝尔摩德,雪莉,0.0007971456220858299,0.7494339939796688,0.24976886039824536,1.65,1.59,0.61,2.01,515.0,1.62,4.8,0.84,13.05,85.0,22.5,2.32,3.86
雪莉,雪莉,0.007086363804296482,0.08548471954449025,0.9074289166512133,1.6,0.99,0.14,2.26,625.0,1.56,2.5,0.95,11.81,134.0,21.5,2.74,2.12
琴酒,琴酒,0.9963968077465372,0.0007989451084319579,0.002804247145030864,3.0,3.04,0.2,3.53,760.0,2.08,5.1,0.89,14.22,128.0,13.2,2.51,3.99
